Strain Name,Species,Review Count,Rating Value,Pain,Euphoric,Fatigue,Paranoid,Focused,Spasticity,Nausea,Tingly,Headache,Dry Mouth,Aroused,Happy,Muscle Spasms,Uplifted,Anxious,Energetic,Headaches,Depression,Giggly,Talkative,Dizzy,Insomnia,Inflammation,Stress,Relaxed,Seizures,Cramps,Sleepy,Hungry,Lack of Appetite,Dry Eyes,Creative,Eye Pressure,Orange,Violet,Mint,Peach,Chestnut,Rose,Coffee,Citrus,Lime,Plum,Sage,Pine,Pungent,Pear,Tar,Tree Fruit,Berry,Vanilla,Pepper,Chemical,Tea,Ammonia,Apple,Skunk,Pineapple,Grapefruit,Honey,Earthy,Cheese,Blue Cheese,Tropical,Grape,Lemon,Flowery,Strawberry,Butter,Tobacco,Spicy/Herbal,Woody,Blueberry,Sweet,Lavender,Nutty,Apricot,Diesel,Menthol,Mango
Diamond Socks,hybrid,3,4.3,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hoodwreck,sativa,3,4.2,0,100,100,0,66.66666667,0,0,0,0,0,0,100,0,0,0,66.66666667,50,50,0,0,0,0,0,0,0,0,50,0,0,0,0,66.66666667,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ice Queen,hybrid,37,4.6,0,56.60377358,0,2.43902439,0,0,81.81818182,0,100,24.3902439,0,100,0,0,0,0,0,90.90909091,0,47.16981132,7.317073171,78.18181818,0,100,91.50943396,0,0,0,0,80,19.51219512,92.45283019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Smelliot,hybrid,5,5,0,75,50,0,50,0,0,0,0,0,0,100,50,75,0,0,0,100,0,0,100,100,0,50,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Double Purple Doja,indica,14,4.7,100,50,0,0,0,0,0,0,0,100,0,57.14285714,60,42.85714286,25,0,40,0,0,0,0,50,0,80,100,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack Wreck,sativa,22,4.5,100,0,0,88.70292887,0,0,0,0,0,100,0,16.11721612,0,100,0,89.01098901,0,93.5483871,82.41758242,0,0.836820084,0,0,51.61290323,16.11721612,0,48.38709677,0,0,61.29032258,2.510460251,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cinderella 99,hybrid,714,4.4,33.66041745,100,45.54176248,29.68546424,0,0,0,0,33.40529923,100,0,99.65400138,0,72.19644,43.78656227,93.37311628,0,100,0,0,0,0,0,99.26018214,72.60927458,0,0,0,0,22.63353544,83.27089693,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Fruity Chronic Juice,indica,31,4.3,21,0,0,0,0,0,0,0,1.376146789,35.77981651,0,85.26785714,0,0,31.65137615,0,0,88,82.58928571,0,30.27522936,28.5,0,100,100,0,0,41.29464286,0,91,100,59.375,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cherry Slyder,hybrid,4,4.8,100,0,0,0,100,0,0,0,0,0,0,66.66666667,0,66.66666667,0,0,0,0,0,0,0,0,0,0,66.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Pink Panther,hybrid,67,4.4,0,91.95234622,0,63.93939394,0,0,68.8365651,0,9.090909091,100,0,100,60.52631579,90.49355701,0,0,93.90581717,100,74.76294675,74.76294675,22.72727273,0,0,95.84487535,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
